id;Marathon;Name;Category;km4week;sp4week;CrossTraining;Wall21;MarathonTime;CATEGORY.1
1;Prague17;Blair MORGAN;MAM;13280;1443478261;;1.16;237;A
2;Prague17;Robert Heczko;MAM;6860;136744186;;1.23;259;A
3;Prague17;Michon Jerome;MAM;8270;1352043597;;1.30;266;A
4;Prague17;Daniel Or lek;M45;13750;1225854383;;1.32;268;A
5;Prague17;Luk ? Mr zek;MAM;8460;1394505495;;1.36;274;A
6;Prague17;David Pecina;M40;4220;1361290323;;1.32;278;A
7;Prague17;Tomas Drabek;M40;8900;1259433962;;1.38;281;A
8;Prague17;Jan Rada;M45;10600;1269461078;;1.41;284;A
9;Prague17;Tomas Drabek;MAM;7000;137704918;ciclista 1h;1.38;283;A
10;Prague17;martin ?indel ?;M45;8420;1336507937;;1.35;286;A
11;Prague17;Maksim Remezau;MAM;9350;132;;1.42;287;A
12;Prague17;Jaroslaw Marchewka;M50;6570;1336271186;;1.40;287;A
13;Prague17;Tom ? K?e?ek;M45;5350;1407894737;ciclista 4h;1.37;288;A
14;Prague17;Ji?، Polcar;M40;8440;1383606557;;1.41;288;A
15;Prague17;Denis Wachtl;MAM;7680;1294382022;;1.44;289;A
16;Prague17;David Lehnen;MAM;7610;149704918;;1.45;290;A
17;Prague17;Jپrgen Steiner;M55;11230;1259439252;ciclista 13h;1.44;291;A
18;Prague17;David Marek;M40;4970;1433653846;;1.44;291;A
19;Prague17;Jan Fri?ek;MAM;8450;1254950495;;1.45;293;A
20;Prague17;Vlastimil Lys k;MAM;7670;8031413613;;1.41;294;A
21;Prague17;Radek Dvo? k;MAM;9450;1188679245;;1.45;299;A
22;Prague17;Jind?ich Lisى;M40;6730;1323934426;;1.50;304;B
23;Prague17;Carlos Valladares Calvo;M40;5940;1263829787;;1.50;305;B
24;Prague17;Jiri Syrovatko;M45;6610;1212844037;;1.48;309;B
25;Prague17;Florian Kobler;MAM;6740;1287898089;;1.52;310;B
26;Prague17;Jan Ro?ek;;2380;1347169811;ciclista 5h; -   ;311;B
27;Prague17;Cat Simpson;WAM;12960;1218808777;;1.54;312;B
28;Prague17;Pavel Hlo?ek;MAM;8240;1177142857;;1.52;314;B
29;Prague17;Enrico Ballerin;M45;5160;1300840336;;1.50;315;B
30;Prague17;Jaroslav Jur sek;M50;10490;1172067039;;1.57;316;B
31;Prague17;Luka Slap?ak Pelliccioni;MAM;5250;125498008;ciclista 3h;1.62;319;B
32;Prague17;Ondrej Barta;MAM;7940;1334453782;;1.60;319;B
33;Prague17;Emilio Zamarriego Garcia;M45;6560;1189123867;;1.51;321;B
34;Prague17;Ian  LoriggioIan Loriggio;M50;11240;1228415301;;1.58;321;B
35;Prague17;Pavel MarekPavel Marek;;11220;1127638191;; -   ;322;B
36;Prague17;Jan Kervitcer;MAM;5010;1188142292;;1.62;322;B
37;Prague17;Luk ? Kozubik;MAM;5010;1217004049;;1.56;323;B
38;Prague17;David CoxDavid Cox;M45;5210;1216342412;;1.61;324;B
39;Prague17;Brian Parkinson;MAM;6470;1329452055;;1.50;324;B
40;Prague17;Kate?ina Ka?parova;WAM;6920;1005326877;;1.60;325;B
41;Prague17;David Allison;M45;6130;1238383838;;1.59;328;B
42;Prague17;Luis Salom;M55;5880;1282909091;;1.68;328;B
43;Prague17;Thanasis Kypraios;MAM;8270;1164788732;;1.78;332;B
44;Prague17;Filip Machart;MAM;3220;1271052632;;1.62;332;B
45;Prague17;Dalibor Sma?inka;M40;2770;1162237762;ciclista 3h;1.67;332;B
46;Prague17;Javier Abarca;MAM;6800;1179190751;;1.67;333;B
47;Prague17;Kristen Stephenson;WAM;4860;1225210084;;1.66;333;B
48;Prague17;Miguel Escribano;M45;3960;1224742268;;1.67;335;B
49;Prague17;Seddiq Hassani;M45;6010;1218243243;;1.55;336;B
50;Prague17;Milo? Bosnovi?;MAM;7820;12;;1.64;339;C
51;Prague17;Raphael Bicelli;MAM;5030;1016161616;;1.67;340;C
52;Prague17;Jrom GOJIRIEN;;7070;1266268657;; -   ;345;C
53;Prague17;Luk ? Charv t;M40;12170;9907734057;;1.65;346;C
54;Prague17;Jakub Adam،k;;5110;1123076923;; -   ;347;C
55;Prague17;????? ?????;M40;7070;1178333333;;1.77;347;C
56;Prague17;Jakub Ka?par;MAM;2690;1312195122;;1.67;350;C
57;Prague17;Mickael Rihouey;MAM;5620;1208602151;;1.71;350;C
58;Prague17;Michel Brucker;MAM;3630;1164705882;;1.72;351;C
59;Prague17;Mark Orton;MAM;2270;1272897196;;1.67;352;C
60;Prague17;Hannes Lilljequist;M40;4520;1102439024;;1.77;352;C
61;Prague17;Szigyarto Laszlo;M40;4320;1093670886;;1.76;355;C
62;Prague17;Jaroslav Valeri n;MAM;5410;1111643836;;1.63;355;C
63;Prague17;Ale? Kuchynka;M45;4880;1166533865;;1.66;356;C
64;Prague17;Bradley Selmes;MAM;2070;1242;ciclista 5h;1.69;356;C
65;Prague17;Frederic Bonningues;M40;5420;117826087;;1.69;359;C
66;Prague17;Barry Sacher;M45;6030;1170873786;;1.88;362;C
67;Prague17;Michal korchan Michal;MAM;4850;1102272727;ciclista 3h;1.93;364;C
68;Prague17;Branislav Jacko;MAM;3430;1130769231;;1.74;364;C
69;Prague17;Joost Saanen;MAM;5910;1091076923;;1.75;365;C
70;Prague17;marek kolba;MAM;4160;1223529412;;1.80;367;C
71;Prague17;Roy Bruhn;M45;8700;1147252747;;1.81;368;D
72;Prague17;Martin Bo Meyer;M50;2420;1152380952;ciclista 3h;1.76;369;D
73;Prague17;Lucie Zona;WAM;5230;1170895522;;1.94;369;D
74;Prague17;Pavel Szappanos;;5360;1271146245;; -   ;375;D
75;Prague17;Radim Rimanek;MAM;6670;1156647399;;1.90;376;D
76;Prague17;Piers Ronan;MAM;2390;1205042017;ciclista 4h;1.85;378;D
77;Prague17;Michal Karhan;MAM;4030;8337931034;ciclista 5h;1.94;380;D
78;Prague17;Luk ? Pe?iva;MAM;3060;1106024096;;1.97;387;D
79;Prague17;Chris Smith;MAM;2800;112;;1.97;389;D
80;Prague17;Martin Werner;MAM;5390;1180291971;;1.98;390;D
81;Prague17;C‚dou Gatto;;3810;1104347826;; -   ;390;D
82;Prague17;Nathan Khan;MAM;3560;11125;;2.05;392;D
83;Prague17;Stefano Vegliani;M55;5000;1083032491;;2.02;393;D
84;Prague17;Andrej Madliak;M40;3360;1013065327;ciclista 3h;1.94;393;D
85;Prague17;Yoi Ohsako;M40;5540;1104318937;;1.94;394;D
